gene,mean_parental,mean_resistant,log2FC,p_value,padj,n_parental,n_resistant
Tubb3,2.3078266394111373,4.416936572025279,2.109109932614142,0.00011013963763493584,0.006939041567049352,9,9
Commd2,6.280387541110458,5.8359087805109295,-0.4444787605995284,0.00011031141863993962,0.006939041567049352,9,9
Nceh1,5.98641832958068,5.061693429866334,-0.924724899714346,0.00011133163342346266,0.006971384463825552,9,9
Cfap20dc,0.9837300683950887,0.28224633226328716,-0.7014837361318016,0.0001125669935987123,0.007016325359697441,9,9
Stap2,4.491433380468659,3.4807460438791784,-1.0106873365894806,0.00011338790985148477,0.007016325359697441,9,9
Plac8,10.046678657039633,8.583172659072575,-1.463505997967058,0.00011357727607524167,0.007016325359697441,9,9
Gm15889,0.8589550711227382,0.3450434377524081,-0.5139116333703301,0.00011642935447066012,0.007160405299945598,9,9
Lpin2,6.015441802296424,5.291453560287021,-0.723988242009403,0.00011754715808971362,0.007197020665972866,9,9
Grb7,6.787138403633278,4.944288333052117,-1.8428500705811608,0.00011808791659776787,0.007198137783410842,9,9
Lratd2,6.752053044436293,5.562860711520843,-1.1891923329154501,0.00011877471055075841,0.0072081075442610035,9,9
AA986860,5.635016621653494,4.1851064422493165,-1.4499101794041778,0.00012052329174706483,0.007267386259597722,9,9
Ptprr,5.357974372113713,3.5297719609895912,-1.8282024111241215,0.00012125663171395389,0.007267386259597722,9,9
Ms4a8a,2.108634530430873,0.5228981715132985,-1.5857363589175744,0.0001213341201878249,0.007267386259597722,9,9
Gm379,1.617803651989412,0.793556361461279,-0.824247290528133,0.00012213605170251408,0.0072837499924408395,9,9
Lamb1,6.845180534238521,8.064104436164056,1.2189239019255353,0.00012352224149903134,0.007334665512459723,9,9
Entpd8,1.3300101434235205,0.44150331642696233,-0.8885068269965581,0.0001256742322559366,0.0073986676220418055,9,9
2810004N23Rik,5.938947408967609,6.3925466407705,0.4535992318028912,0.00012529348753173044,0.0073986676220418055,9,9
Gm39157,1.081412551506672,0.4382616208210702,-0.6431509306856018,0.00012672129335997433,0.007399656139149309,9,9
Cenpb,8.058958886667861,8.446676742203282,0.3877178555354206,0.0001267653055196891,0.007399656139149309,9,9
Mmab,5.1193010853009655,3.9829671376639024,-1.136333947637063,0.00012754545647817477,0.007413781470225045,9,9
Map2,0.9046086290879126,2.5469909843763494,1.642382355288437,0.00012928402285844603,0.00745364005320345,9,9
Sh3d19,7.901244810653416,7.164059104441924,-0.7371857062114913,0.00012976100373076864,0.00745364005320345,9,9
Tmigd1,6.657407324317951,3.8051952748166653,-2.852212049501286,0.00012985435632758625,0.00745364005320345,9,9
Anpep,0.6628067818009344,2.7971530461903233,2.134346264389389,0.00013397749785093002,0.007515325584190842,9,9
Sel1l3,5.84620826594654,3.1498767054222423,-2.696331560524298,0.00013420224257483648,0.007515325584190842,9,9
