gene,mean_parental,mean_resistant,log2FC,p_value,padj,n_parental,n_resistant
IGFBP4,6.678737064308167,7.30785606260826,0.6291189983000933,0.002755000951589393,0.17039702691793063,6,6
C1GALT1,5.588862838499799,5.958924872670962,0.3700620341711627,0.0027974593135282754,0.17202023972053074,6,6
PIGBOS1,2.8913023362495234,2.5578901740025652,-0.33341216224695813,0.002820505775788926,0.17245077789837868,6,6
SPTSSB,2.8980277560200336,0.93380252197003,-1.9642252340500037,0.0028280277892457043,0.17245077789837868,6,6
SDE2,5.043575853696283,5.431922912153493,0.3883470584572102,0.0029076520246202496,0.17584085694346013,6,6
RANGAP1,8.299814469142609,8.127110209985036,-0.17270425915757315,0.0028975885291506343,0.17584085694346013,6,6
TUFT1,5.744336056436386,6.022626597100936,0.2782905406645497,0.002921586934358022,0.17595648059394917,6,6
BST1,1.0334905366262912,1.5061531215873245,0.4726625849610333,0.002964414236540104,0.1773376800779785,6,6
CACNG4,6.4529968744084565,5.014096464551687,-1.4389004098567693,0.0029929898858394735,0.1773376800779785,6,6
GSTCD,3.776957408262143,4.111033197287104,0.3340757890249608,0.002988409997640431,0.1773376800779785,6,6
RSPRY1,5.179985234895885,5.50240134052983,0.32241610563394474,0.002988223188322191,0.1773376800779785,6,6
NAMPTP1,0.6906047930181599,1.241802913079902,0.5511981200617421,0.0030511779875358816,0.17933329256059286,6,6
ODC1-DT,0.6308263979708196,1.0069560383088674,0.37612964033804774,0.0030413425212433348,0.17933329256059286,6,6
SOCS1,2.4803965357245734,2.987539654855363,0.5071431191307898,0.003087838483208464,0.18076206480702348,6,6
COPS9,5.6592158090951346,5.3075942341263795,-0.351621574968755,0.003150320317072821,0.18151550330850683,6,6
