,H358_RMC-Resistant_Control_3,H358_RMC-Resistant_Control_2,H358_RMC-Resistant_MUC1_Silencing_1,H358_RMC-Resistant_MUC1_Silencing_2,H358_RMC-Resistant_Control_1,H358_RMC-Resistant_MUC1_Silencing_3
TBC1D24,2.354363733,2.2669467,3.307079595,3.091861269,2.293819172,3.056518249
TBC1D25,1.636711277,1.591386543,1.716638678,2.145803272,1.61356585,1.831511744
TBC1D26,0.017533015,0.079354502,0.024453623,0.033297453,0.015376631,0.041998669
TBC1D27P,0.0,0.0,0.0,0.0,0.0,0.0
TBC1D28,0.004099679,0.003710872,0.007623656,0.0,0.0,0.0
TBC1D29,0.036855442,0.117017903,0.0,0.059763593,0.107823122,0.194117601
TBC1D2B,1.750194436,1.628962007,2.441942208,2.42465755,1.858814924,2.397115864
TBC1D3,0.0,0.0,0.0,0.0,0.0,0.0
TBC1D30,0.245423356,0.26362056,0.37482592,0.472899953,0.244347578,0.403891144
TBC1D31,7.766851883,6.869551556,8.060083769,7.714146156,6.805224903,7.363666483
TBC1D32,0.920200714,0.842264494,0.845377518,0.747030603,0.951820525,0.760733583
TBC1D3B,0.0,0.0,0.0,0.0,0.0,0.0
TBC1D3C,0.0,0.0,0.0,0.0,0.0,0.0
TBC1D3D,0.0,0.0,0.0,0.0,0.0,0.0
TBC1D3E,0.0,0.0,0.0,0.0,0.0,0.0
TBC1D3F,0.019145378,0.018557757,0.019701853,0.017826873,0.01358977,0.012449767
TBC1D3G,0.0,0.0,0.0,0.0,0.0,0.0
TBC1D3H,0.0,0.0,0.0,0.0,0.0,0.0
TBC1D3I,0.0,0.0,0.0,0.0,0.0,0.0
TBC1D3J,0.0,0.0,0.0,0.0,0.0,0.0
TBC1D3K,0.0,0.0,0.0,0.0,0.0,0.0
TBC1D3L,0.0,0.0,0.0,0.0,0.0,0.0
TBC1D3P1-DHX40P1,0.357089699,0.196247608,0.233206065,0.281423274,0.30819813,0.248467185
TBC1D3P2,0.0,0.00353454,0.0,0.0,0.0,0.0
TBC1D3P5,0.0,0.002240505,0.002301671,0.0,0.0,0.0
TBC1D4,4.636880527,4.397990527,7.463315075,7.625131296,5.007707252,7.068288035
TBC1D5,6.550454973,6.097956054,7.56513737,7.068827134,6.530171692,6.714058037
TBC1D7,0.13041183,0.093264064,0.091901468,0.08451144,0.088535634,0.086670515
TBC1D7-LOC100130357,0.011566738,0.0,0.027957117,0.012559557,0.013524029,0.028817633
TBC1D8,1.773091232,1.615396147,2.251108876,2.215274002,1.987452106,2.008160079
TBC1D8-AS1,0.177042014,0.237481567,0.146961033,0.240241776,0.203313363,0.199936421
TBC1D8B,0.823055404,0.822662868,1.057816519,1.07378389,0.940767264,0.975985993
TBC1D9,3.059353746,2.858293879,4.244654793,4.378936116,3.062103653,4.152825558
TBC1D9B,9.462372537,9.341395547,11.66873461,12.52838603,9.435242824,11.25086427
TBCA,20.06599495,20.01222365,23.00256501,27.93110255,25.77251884,24.93379801
TBCB,31.57639565,30.7597832,27.55686181,27.36424551,25.3490834,25.50645715
TBCC,7.538913656,7.211809319,8.235393583,7.677504914,5.960573003,7.062458853
TBCCD1,5.822837593,5.382939338,8.312835524,7.920122436,5.935280715,7.633239622
TBCD,9.41133172,8.675457319,9.069786589,9.151909194,9.29778764,8.725014663
TBCE,10.472762,9.935552978,9.710323052,9.739879011,11.17436397,9.246116718
TBCEL,4.750229667,4.72659657,5.903126012,6.090324983,4.680078714,5.720761518
TBCK,5.973367893,6.097774658,4.407331394,4.22217519,5.702993627,3.990429042
TBK1,8.09192771,7.517316171,10.71961943,10.92827282,7.562103441,10.3765136
TBKBP1,1.048454131,0.919394596,0.97963645,1.064393672,1.047112702,0.994350494
TBL1X,10.97834907,10.67180126,9.653996419,10.21146114,11.23424931,9.6543423
TBL1XR1,21.06388007,20.6053571,12.20970047,11.8459113,20.3751535,11.04713177
TBL1Y,0.0,0.0,0.003037975,0.003547198,0.0,0.0
TBL2,6.231008251,6.323899988,8.414147802,10.13590547,7.276657028,8.928405867
TBL3,5.878061444,6.050545379,8.222262455,8.636713387,6.002452821,7.942371709
TBP,10.23549087,9.443587078,11.61815466,11.24762008,8.749693094,11.12616399
TBPL1,8.786489174,8.227728404,9.956623479,8.915351508,7.455283407,8.389867063
TBPL2,0.0,0.0,0.0,0.0,0.0,0.013197907
TBR1,0.013022637,0.0134669,0.024211293,0.024243742,0.010875658,0.014261744
TBRG1,3.030278907,2.975377617,3.64097924,3.727240917,3.269206466,3.459858894
TBRG4,10.81290026,9.821176389,14.54200444,16.09332707,10.17094814,15.88177787
TBX1,0.041264816,0.072197604,0.035804966,0.020907296,0.028949198,0.01581636
TBX10,0.0,0.0,0.010237495,0.005971778,0.0,0.0
TBX15,0.083728503,0.075763312,0.063008278,0.036802266,0.104887635,0.059219565
