gene,jq1_log2FC,reversed
NETO2,0.3332887728295759,1
DEAF1,-0.93597909823756,0
TGFB1I1,-3.586114236531439,0
CDKN2AIP,0.3313726519764444,1
PLEKHA5,-0.71264783530851,0
ZNF185,-1.2887071703199364,0
EFEMP2,-1.150564192089793,0
KIAA1462,-0.9874868709603728,0
PEX11B,-0.4147201862827785,0
HOXB-AS3,-2.0153545195599394,0
EFHD2,-0.7056087169816436,0
CNTNAP3P2,-0.2443094741080074,0
FAM3C,0.20326424748080463,1
SUMO3,0.7262855337781993,1
TSC22D1,-0.05557756001938863,0
TCN2,-1.414418790488944,0
BTBD11,-1.237928889954815,0
SYNJ2,0.04510770691334187,1
WNT11,-1.0651438683124916,0
GLIS1,-1.585367179442332,0
COL23A1,-3.773021235043281,0
BACH2,1.1201119857031325,1
ETV5,0.44257595691572327,1
FRMD5,-0.0003190493354914281,0
SAMD13,-1.6869111309316422,0
SYT1,-1.6191068771582722,0
WWTR1,-0.5311403713492044,0
SMAD5-AS1,-0.22648797716935865,0
F2RL1,-2.6270928131077316,0
ARHGEF37,-1.1880360360741253,0
HTR7,0.813312376266569,1
RXFP4,-0.8618325641866198,0
B3GALNT1,-0.8902601226742162,0
IFFO2,0.03886580990643651,1
CTSC,0.36627939320940683,1
MAST4,1.2683224963610247,1
C15orf52,-3.000840530760266,0
IL31RA,-2.1329681022801137,0
KRT18,-0.5309117402624164,0
LOC101927934,-3.5018297594991,0
MEX3A,-1.7356627896319798,0
MYH15,-2.3076109820939212,0
LIPH,0.34875480545104587,1
SPOCK2,-1.3923294895106118,0
KAT6B,-0.8876307249953275,0
BANK1,-1.5630857940519574,0
NCEH1,0.17620927378690432,1
PLAC8,-1.4685736445307578,0
ODF3L2,0.29626950609742586,1
GRB10,-0.7858591178021648,0
RNF208,-2.029690094999416,0
BATF3,-2.302248045175688,0
SYT11,-1.3615784378818372,0
CUX2,-1.3905657035280108,0
NCKAP5,-0.49361046661667435,0
