gene,log2FC,p,fdr
RGL2,-1.2832611448692397,0.00018768561834390705,0.015119981515930279
NFATC1,-1.6388206718718958,0.00018792990450719187,0.015119981515930279
PPAPDC1A,-2.943081741614679,0.00018881532299378355,0.015119981515930279
PYGL,0.9998490938781579,0.00018942694936294793,0.015119981515930279
CBX7,-0.899295718006913,0.00018943370424311478,0.015119981515930279
TNIP1,-1.3613646986879449,0.00018964442019134248,0.015119981515930279
NFIC,-2.0662634716711334,0.00019053637646677932,0.015119981515930279
LSR,-2.858064266001432,0.00019156195109509865,0.015119981515930279
TMEM44,-1.3471090171244047,0.00019183060739282374,0.015119981515930279
HBEGF,0.9653238326040894,0.0001919177731747187,0.015119981515930279
MAP3K12,-1.8708990451355882,0.00019376360420875728,0.015119981515930279
CDKN1C,-1.7891228983902536,0.0001944267766834707,0.015119981515930279
APOL1,-1.1510566916122151,0.00019447127502910977,0.015119981515930279
BMP7,-1.445139700251632,0.00019663238183090408,0.015119981515930279
BACE2,-0.9208945212501067,0.000197491032283876,0.015119981515930279
GTF3C6,-1.6989347423973804,0.00019754819889311715,0.015119981515930279
CHRAC1,-0.877926366608909,0.000198397094368408,0.015119981515930279
H3F3B,0.7578643038797743,0.00019878534493746077,0.015119981515930279
SNHG21,-0.47439196762623403,0.00019904265212813613,0.015119981515930279
FAM134B,-2.1597758767645727,0.0001998284292818624,0.015119981515930279
OARD1,-0.46981883793325174,0.0002000742377713988,0.015119981515930279
TXNIP,1.761008867899431,0.00020033232295450207,0.015119981515930279
ZYX,-1.8332805678368072,0.0002007176799975813,0.015119981515930279
PBX3,-1.1136513007089146,0.0002007796455819448,0.015119981515930279
KIAA0753,-1.3844682644064594,0.00020156648864228297,0.015119981515930279
OLFML2A,-2.2634210931056415,0.00020193497524533628,0.015119981515930279
STK32B,-1.8901980153437075,0.0002020385326680822,0.015119981515930279
SSRP1,-0.8556664425212759,0.000202760730425674,0.015119981515930279
SRC,-1.5252400806672508,0.00020287396738023736,0.015119981515930279
ATP1B1,-0.8739487722802011,0.00020306125282906661,0.015119981515930279
SKIDA1,-1.423266457843372,0.00020311307471925042,0.015119981515930279
CCM2L,-1.2666780060289327,0.00020331306589881697,0.015119981515930279
SLC38A7,-1.051944992343671,0.00020422520351538536,0.015145272445573746
RNF157,-1.253689525132816,0.00020482498615483996,0.015147322649299966
LINC00847,0.6215097922894168,0.00020616599044756022,0.015204023947351411
IGSF8,-1.873113880908563,0.00020723175588386727,0.015240168713959406
STK17A,1.0262156036658485,0.00021011861229392132,0.015371065358239802
C10orf107,-1.464328632154273,0.00021017282944977558,0.015371065358239802
C1orf159,-1.4057930410034727,0.00021126527739408362,0.015379513493853587
TADA1,-0.4378241381715302,0.00021145015719594733,0.015379513493853587
BOD1,-0.8175844720035403,0.00021214594654788652,0.015387846396863823
CPNE7,-2.067426635434707,0.0002136245660160201,0.015452760615503092
ATP5O,-0.5266326169148314,0.000217337413271329,0.015578166115296565
VEGFC,-1.2814221083549082,0.0002179894857943111,0.015578166115296565
MAPK3,-1.9558794608886583,0.00021828591297680646,0.015578166115296565
KDELR1,-0.9128015764210016,0.00021924972848134545,0.015578166115296565
PNMT,-3.845736810714577,0.00021968354902629587,0.015578166115296565
LETMD1,-0.5994341197706508,0.00021974813567863594,0.015578166115296565
GTF2H2B,-1.046489381827044,0.00022049741439427554,0.015578166115296565
LZTFL1,-0.9810796003377567,0.00022064449970149889,0.015578166115296565
PLP2,-1.055139634518051,0.00022118306021087284,0.015578166115296565
TOX2,-2.1494266962885504,0.00022319230776660743,0.015578166115296565
LOC729683,-3.428138935406435,0.0002233661703133443,0.015578166115296565
TYRO3,-1.3873123868211934,0.00022339403136130317,0.015578166115296565
PRRX1,-2.8725422056091308,0.00022427547127526435,0.015578166115296565
TMEM126B,-0.41162834228539324,0.0002249620454860455,0.015578166115296565
TNRC6C-AS1,-3.4246074521910805,0.0002252099541387526,0.015578166115296565
SPRED3,-2.6343692419948503,0.00022654318591840207,0.015578166115296565
F11R,-0.7618101193294535,0.0002267359337656296,0.015578166115296565
ZNF621,-1.5576032637521156,0.000226834216920902,0.015578166115296565
RASD2,-2.4134360360751472,0.00022697583930457254,0.015578166115296565
PRKCH,-1.5716473516245135,0.00022794855430513465,0.015578166115296565
PHKA2,-1.0261611003339386,0.00022819591683666688,0.015578166115296565
LMO7,-1.78833525911811,0.00022884997608457655,0.015578166115296565
NR2F2,-0.9782698172500979,0.00022965092201080155,0.015578166115296565
CMAS,-0.9995199396452783,0.00023039432669124193,0.015578166115296565
NXF1,1.0009716352783045,0.00023048264417575251,0.015578166115296565
FAM65C,-2.9726668041690436,0.00023071238564528697,0.015578166115296565
