gene,log2FC,p,fdr
DOCK6,-1.7984625442574806,9.696665353529933e-05,0.008246954263020575
MSI2,-1.1132520357190359,9.70941243198302e-05,0.008246954263020575
F8,-1.5759774762703929,9.767036478758746e-05,0.008246954263020575
NDUFS4,-0.6229198514571408,9.807931383597332e-05,0.008246954263020575
SLAIN2,-0.4578879938932605,9.826507286952024e-05,0.008246954263020575
BRSK2,-1.2157347142384936,9.848031064123227e-05,0.008246954263020575
CYB561,-1.343673127375606,9.878105539836873e-05,0.008246954263020575
LOC100130093,-2.2593263236991916,9.882345687231893e-05,0.008246954263020575
PLEKHO1,-0.5712673995696216,9.920129296555648e-05,0.008246954263020575
ETS1,-0.8046766461524513,9.953537890158039e-05,0.008246954263020575
CTDNEP1,-0.8273729753275632,9.985538869281596e-05,0.008246954263020575
PPP1R9A,-1.4331602747606667,0.00010012296500779653,0.008246954263020575
ETNK2,-1.4953909037542568,0.00010030289981841832,0.008246954263020575
MXRA8,-2.0039126171655894,0.00010103222979683194,0.008281202117248069
NFIC,-1.4637375102581025,0.00010235075092071032,0.00836338311921545
WARS,-0.7451991950861512,0.00010320527181341138,0.00840002369601022
NACC2,-1.2165246707759643,0.000103851479819329,0.00840002369601022
PROB1,-1.070165504029248,0.00010386764234526246,0.00840002369601022
HAPLN3,-1.823851330522821,0.00010439525190163226,0.00840002369601022
NYAP1,-2.106247487059999,0.00010446392563092154,0.00840002369601022
TCF20,-0.6839373422187034,0.00010473977988086152,0.00840002369601022
ANO8,-0.643454261652673,0.00010554949245607286,0.00840002369601022
CFB,-2.0464548972766714,0.00010572541865785028,0.00840002369601022
SMC2,-0.6881617616271445,0.00010583470525714154,0.00840002369601022
CYP26B1,-1.7016214775227718,0.00010619257163479259,0.00840002369601022
ESRP2,-2.252001598679847,0.00010660737411340568,0.00840002369601022
RPP30,-0.5105962921744247,0.00010693220700650646,0.00840002369601022
MED13L,-1.2807954478636923,0.0001069695094251843,0.00840002369601022
SH3BP4,-1.035380330734041,0.00010724109572243453,0.00840002369601022
TPM1,-1.0895093569987573,0.00010929850003050414,0.008535922679373443
HOXB4,-1.1120361039482667,0.00010988815083918502,0.008556731745492421
ZFYVE21,-0.979546121972442,0.00011036796688845378,0.008568891270885086
PRSS22,-4.368263283579869,0.00011115669626160709,0.008585184198219586
ECHDC2,-0.938046765763457,0.00011146999348807325,0.008585184198219586
TIMM23B,-0.6222128631981221,0.00011253519846735558,0.008585184198219586
TMEM51,-1.0619643345277838,0.00011254077440067717,0.008585184198219586
COLGALT2,-1.094344838612451,0.0001127134042515609,0.008585184198219586
KLF16,-1.1047735933983613,0.00011297187778005438,0.008585184198219586
AMIGO2,-0.9158844112682054,0.00011322205545165299,0.008585184198219586
HAX1,-0.8230952622155616,0.00011348652690545616,0.008585184198219586
RAD51D,-1.9439984857293853,0.0001134962972380304,0.008585184198219586
MEIS3,-1.655981693307404,0.0001141068594085184,0.008606778070770725
KIAA1462,-0.8776580206387585,0.00011478101791023644,0.008633032526061108
MRPL23,-1.7037212266093107,0.00011583488614955653,0.008649065183629933
MMP14,-1.4729161162375792,0.00011593334948343244,0.008649065183629933
CLOCK,-0.6960290105562752,0.00011597424514404632,0.008649065183629933
MYO10,-0.80460981867623,0.00011657911340467425,0.008658388072347369
TIMP2,-0.6361011062530846,0.00011709239801166378,0.008658388072347369
CSPG4,-1.6490828963439732,0.0001172269156382102,0.008658388072347369
NFE2L3,-1.367559543059441,0.00011781289785826506,0.008658388072347369
VAV2,-1.0831555391377918,0.00011799817343494526,0.008658388072347369
CTDSPL,-1.1254999726790356,0.00011807638622503165,0.008658388072347369
MGAT5B,-2.214001236765575,0.00011838853568233229,0.008658388072347369
CPQ,-1.163187533189813,0.00011945125958241084,0.00868140029287044
CERS1,-2.1794272165037034,0.00011983200635168269,0.00868140029287044
NRP1,-0.9460239678620468,0.00011985063052114906,0.00868140029287044
CIZ1,-1.0601508170662512,0.00012066676141657539,0.00868140029287044
NLGN2,-1.2877143788084986,0.00012066960550851408,0.00868140029287044
TP53I11,-2.153763733908626,0.00012076851524383679,0.00868140029287044
BNIP1,-0.8984446997833642,0.00012143694109903133,0.00868140029287044
MED24,-1.2764097151605611,0.00012215084670419213,0.00868140029287044
DOCK11,-1.0277927019730937,0.00012247725319951315,0.00868140029287044
PNPLA7,-0.8316858775905827,0.0001226406694915394,0.00868140029287044
PLEKHA4,-1.8276791706218152,0.00012304031467605395,0.00868140029287044
APOL3,-2.711213751428712,0.00012308067043949897,0.00868140029287044
TFAP2C,-2.4651391077560474,0.00012328456683525813,0.00868140029287044
B4GALNT3,-3.2652588703996908,0.00012384493446763664,0.00868140029287044
FUNDC1,-0.7126649528928581,0.0001238952806273424,0.00868140029287044
SOX21-AS1,-2.184357732707058,0.00012395466292209023,0.00868140029287044
HIST1H3H,2.9471666732686583,0.0001242776472520452,0.00868140029287044
IRF1,-1.384664316856938,0.00012468401524811043,0.008686866588667694
NECAB2,-2.1734610652048656,0.00012510029417737512,0.008692992882797916
TCEA2,-1.4006923842101413,0.0001254427230086907,0.008693968826322215
TEAD3,-1.4991993720231518,0.00012600538120419755,0.008699578593337042
CIB2,-1.3510267729726984,0.00012682342458114675,0.008699578593337042
SAMD14,-1.6933013788592186,0.0001275455849093053,0.008699578593337042
SH3YL1,-1.4437263278307935,0.00012775997730223775,0.008699578593337042
SRSF12,-1.4767008321107458,0.00012811929782555642,0.008699578593337042
