gene	GSM9850794	GSM9850795	GSM9850796	GSM9850797	GSM9850798	GSM9850799	GSM9850800
Pgrmc1	1911	380	1490	1586	306	193	161
Pgrmc2	2414	184	1342	1340	316	91	100
Pgs1	943	83	434	665	87	59	67
Phactr1	536	65	661	509	206	38	25
Phactr2	705	150	858	1006	334	104	37
Phactr3	0	1	2	3	1	0	0
Phactr4	785	78	938	663	160	72	59
Phax	1464	173	832	949	222	119	95
Phb	792	92	415	425	65	129	95
Phb2	2682	329	1435	1821	264	270	313
Phc1	230	49	189	167	46	33	12
Phc2	961	124	1209	1217	230	130	126
Phc3	596	227	631	737	326	106	55
Pheta1	186	24	0	0	0	6	16
Pheta2	313	28	0	0	0	10	15
Phex	4	6	55	24	15	1	0
Phf1	227	85	157	191	57	26	9
Phf10	1273	121	707	1044	160	80	81
Phf11a	13	5	3	9	2	1	0
Phf11b	121	28	46	112	30	17	4
Phf11c	20	2	38	34	21	3	2
Phf11d	549	114	261	377	135	80	28
Phf12	654	105	949	880	221	103	91
Phf13	511	60	445	421	65	29	27
Phf14	1490	250	1429	1558	453	164	204
Phf19	17	9	7	16	4	3	4
Phf2	607	97	584	690	197	51	47
Phf20	1194	116	960	1148	251	128	111
Phf20l1	2296	267	1964	2046	553	196	180
Phf21a	1013	215	3825	3729	1094	396	283
Phf21b	15	0	22	17	6	0	2
Phf23	1224	114	544	673	130	59	59
Phf24	47	14	71	91	54	1	1
Phf2os1	4	0	8	8	2	0	5
Phf3	1772	355	1796	1818	591	149	165
Phf5a	2507	218	785	1072	162	124	174
Phf6	527	67	570	723	122	63	36
Phf7	204	26	126	117	16	14	16
Phf8	356	74	694	789	205	70	52
Phgdh	1044	123	367	365	88	75	122
Phgr1	22	1	15	4	0	2	0
Phip	1777	389	2072	2271	777	268	189
Phka1	96	21	387	466	128	22	32
Phka2	134	47	138	197	71	36	30
Phkb	356	80	531	806	298	105	60
Phkg1	175	10	114	100	10	3	16
Phkg2	374	67	216	193	51	35	38
Phlda1	3501	229	1951	3174	414	208	160
